Date,RELIANCE,TCS,BAJAJ,BHARTIARTL,TATASTEEL,HDFC,CIPLA,HAVELLS
31-12-2020,1978.93396,2843.404053,5286.657715,509.700012,629.561462,1430.110474,819.950012,910.511536
30-12-2020,1989.101196,2889.639404,5325.544434,516.150024,626.431458,1426.326904,823.799988,899.082336
29-12-2020,1983.668701,2910.696045,5192.110352,520.25,618.362061,1421.049683,827.950012,903.157043
28-12-2020,1996.876221,2909.603516,5195.70459,521.599976,618.802246,1406.761475,830.150024,898.038757
24-12-2020,1987.755615,2889.689209,5176.535156,517.299988,608.678711,1391.079346,833.200012,890.386169
23-12-2020,1937.616821,2889.093262,5080.69043,507.200012,607.798462,1369.721802,824.650024,887.851807
22-12-2020,1930.489746,2853.087891,5003.31543,500.299988,588.187317,1367.182739,795,875.130554
21-12-2020,1933.480103,2801.091797,5033.716309,490.899994,582.807678,1366.734741,778.5,876.671021
18-12-2020,1985.16394,2841.665771,5244.026367,510.649994,617.432861,1405.267944,793.450012,913.691833
17-12-2020,1979.23291,2819.019775,5278.171387,515.099976,621.394165,1435.586792,783.200012,905.442871
16-12-2020,1970.212036,2795.182129,5138.297363,516.200012,629.316956,1404.620728,786.799988,895.603821
15-12-2020,1968.019043,2742.887939,5114.23584,504.200012,621.443054,1385.304443,781.650024,859.477539
14-12-2020,1984.914673,2778.793457,4890.74707,503.049988,613.031372,1366.236938,789.299988,821.860535
11-12-2020,1999.368286,2764.789063,4836.035645,504.399994,608.091919,1376.841064,755.849976,822.357422
10-12-2020,2000.564331,2765.484131,4787.064453,505.149994,596.745789,1379.877808,762.75,822.307739
09-12-2020,2020.450317,2791.805176,4836.334961,503.049988,596.012207,1401.135864,762.400024,818.779541
08-12-2020,1987.356812,2778.396484,4784.418945,503.600006,600.022461,1370.369141,766,814.853882
07-12-2020,1951.920776,2719.198975,4821.65918,508.950012,601.098389,1366.336426,773.150024,820.717529
04-12-2020,1940.507568,2709.117676,4867.484863,493.75,609.070007,1379.628906,766.950012,824.394775
03-12-2020,1957.752075,2691.139893,4859.597656,479.899994,607.309448,1371.265137,762.150024,827.177551
02-12-2020,1951.870972,2730.968994,4816.117676,484.899994,591.121643,1400.886963,758.349976,831.202576
01-12-2020,1948.63147,2708.372559,4853.257813,479.450012,572.977661,1427.123413,755.599976,818.332397
27-11-2020,1923.611938,2661.54126,4900.880859,463.25,564.712646,1434.640869,745.599976,796.467773
26-11-2020,1946.338745,2702.2146,4813.472168,468.399994,555.958557,1420.502075,738.700012,798.256653
25-11-2020,1941.554199,2683.045166,4682.184082,464.100006,529.402832,1396.754883,731.650024,810.431335
24-11-2020,1957.752075,2703.654785,4802.88916,474.25,536.298523,1432.002197,748.450012,815.748352
23-11-2020,1944.444824,2705.839844,4803.687988,477.25,531.21228,1388.590088,746.299988,819.077759
20-11-2020,1893.409058,2642.272461,4708.242188,483.700012,521.235596,1397.601196,739.900024,819.922485
19-11-2020,1966.822876,2619.080078,4529.230957,468.549988,512.139099,1368.427368,742.099976,822.705261
18-11-2020,1980.827759,2608.899414,4646.242188,478.399994,505.879242,1402.629395,742.950012,832.941895
17-11-2020,1986.858398,2648.033447,4480.759766,484.549988,511.25885,1402.380493,742.549988,839.501282
13-11-2020,1989.998291,2638.895508,4368.990234,475.75,475.900116,1352.944458,744.650024,823.301575
12-11-2020,1973.650879,2652.999512,4291.365723,479.850006,462.793427,1365.788818,739.700012,806.505615
11-11-2020,1990.795654,2669.63623,4261.913086,478.600006,463.575928,1383.960205,742.349976,809.785278
10-11-2020,2077.865723,2631.69458,4201.760254,466.399994,432.227448,1387.644287,717.299988,836.470093
09-11-2020,2044.124146,2708.174072,3858.764648,471.799988,428.706238,1334.773193,763.200012,818.92865
06-11-2020,2022.643311,2689.15332,3774.650635,449.899994,417.16452,1302.014893,789.950012,813.611572
05-11-2020,1948.731079,2667.550537,3730.871338,457.299988,416.186432,1263.730469,793.5,812.816467
04-11-2020,1907.065063,2635.220459,3555.704346,453.049988,395.059204,1251.981445,781.150024,803.076782
03-11-2020,1844.466553,2615.802734,3485.168457,454.600006,397.99353,1242.572144,759.299988,778.479126
02-11-2020,1871.429688,2586.998535,3414.282959,457.399994,394.032196,1210.013062,751.25,776.789551
30-10-2020,2047.911987,2646.841553,3303.661621,433.75,401.563629,1178.449707,754.5,723.420105
29-10-2020,2020.400513,2614.858887,3374.597168,450.799988,392.613922,1182.083862,762.299988,720.687073
28-10-2020,2005,2604.479492,3365.362061,451.850006,393.494232,1204.387329,765.25,724.115784
27-10-2020,2027.976196,2612.375732,3447.678955,433.350006,402.003815,1227.786133,770.25,719.991333
26-10-2020,2022.593384,2670.033447,3288.585938,434.049988,399.460693,1205.681885,747.150024,716.761353
23-10-2020,2106.274414,2668.643066,3311.548828,434.399994,414.181305,1230.474487,757.549988,722.227539
22-10-2020,2100.193848,2653.098633,3309.102783,430.649994,400.68335,1227.985352,757.5,719.39502
21-10-2020,2117.787354,2657.319824,3227.634766,419,395.205933,1241.327515,767.099976,707.220398
20-10-2020,2148.986816,2720.490234,3256.887207,405,383.810913,1218.675537,764.299988,704.785522
19-10-2020,2169.22168,2693.225586,3261.929199,397.700012,386.843079,1198.363525,764,701.654907
16-10-2020,2168.822998,2744.626221,3226.137207,401.649994,385.229187,1194.181519,782.349976,693.207214
15-10-2020,2199.424561,2722.07959,3209.563721,399.200012,365.715851,1164.211304,768.299988,679.939392
14-10-2020,2280.164795,2790.613281,3366.610107,413.25,367.329742,1206.279175,781.5,693.157471
13-10-2020,2273.386719,2795.529785,3267.320557,415.299988,360.287354,1193.2854,787.150024,697.729126
12-10-2020,2229.876709,2798.941895,3321.832275,415.049988,362.977173,1208.419922,813.650024,700.710754
09-10-2020,2226.288086,2782.078857,3312.547363,425.200012,361.41217,1228.234253,803.150024,705.829041
08-10-2020,2232.06958,2794.689209,3321.083496,424.450012,365.471344,1186.664185,811.450012,682.821533
07-10-2020,2250.260986,2705.924072,3325.775879,422.450012,362.977173,1157.241455,773.599976,676.659668
06-10-2020,2203.262451,2684.511719,3468.695068,426.75,369.139252,1139.169678,780.349976,683.715942
05-10-2020,2205.106201,2676.10498,3377.442383,424.450012,373.932007,1109.547852,778.650024,665.478882
01-10-2020,2218.114502,2495.756104,3437.24585,432.350006,356.961792,1102.179688,773,661.950745
30-09-2020,2227.185303,2464.947998,3273.310791,420.950012,351.87558,1073.951904,774.700012,673.678162
29-09-2020,2237.851074,2461.09082,3289.434814,435.600006,361.950134,1057.971191,762.349976,662.497314
28-09-2020,2209.143311,2399.672363,3329.769531,443.649994,353.098236,1049.656982,774.799988,680.287231
25-09-2020,2194.639893,2395.716309,3133.885986,439.649994,344.393036,1039.500977,770.099976,654.993835
24-09-2020,2174.205811,2306.654541,3024.013428,419.299988,336.372528,1025.959717,733.450012,660.112183
23-09-2020,2223.646729,2440.370361,3238.616943,433.799988,353.391663,1042.737061,767.400024,670.597229
22-09-2020,2204.05957,2495.261719,3297.671387,470.950012,365.960388,1030.93811,777.650024,661.155701
21-09-2020,2248.616455,2438.244385,3324.777588,467.75,365.226807,1044.778198,768.099976,664.932312
18-09-2020,2298.306396,2423.013184,3469.194336,494.549988,386.843079,1052.743774,806.25,671.094177
17-09-2020,2291.378906,2433.942139,3466.348877,479,389.973053,1078.930298,751.5,677.653503
16-09-2020,2317.096191,2475.530518,3515.818848,481.75,395.743896,1088.937134,752.599976,675.765198
15-09-2020,2311.414551,2464.057861,3507.731934,485.549988,396.379669,1065.886841,742.450012,666.919983
14-09-2020,2295.166748,2464.057861,3435.14917,474.100006,395.792786,1053.390869,721.599976,664.932312
11-09-2020,2312.311523,2348.04541,3538.681885,491.649994,398.580414,1074.001709,725.950012,649.72644
10-09-2020,2306.579834,2305.566406,3493.055664,497.350006,399.069458,1085.850464,726.799988,639.489868
09-09-2020,2154.419434,2302.10498,3417.328125,504.25,408.263702,1091.77478,727.549988,637.452454
08-09-2020,2100.343506,2322.429199,3494.353516,498.100006,396.232941,1107.656006,708.200012,634.619995
07-09-2020,2075.97168,2301.511475,3499.495117,515.450012,413.252075,1105.714478,716.75,644.011902
04-09-2020,2070.589111,2263.681152,3590.997559,523.150024,412.078339,1114.476563,724.599976,629.998657
03-09-2020,2105.327393,2274.263672,3613.860352,538,428.51062,1126.026611,738.599976,641.427917
02-09-2020,2121.375732,2240.290771,3662.731445,550.549988,429.048584,1129.262573,738.25,625.774841
01-09-2020,2080.556885,2221.697266,3637.97168,546.25,419.267456,1122.442139,736.549988,616.8302
31-08-2020,2074.028076,2232.477539,3482.17334,513.099976,403.960022,1111.041382,713.549988,611.761597
28-08-2020,2109.364258,2213.982666,3664.878174,523.450012,414.914886,1109.697266,748.599976,635.315735
27-08-2020,2103.832275,2223.724609,3626.639893,511.149994,417.506866,1107.307495,756.200012,649.080444
26-08-2020,2130.446533,2228.768799,3639.668945,514.5,415.697357,1113.630127,748,645.601929
25-08-2020,2075.423584,2218.037842,3637.022949,528.650024,414.719238,1114.874756,747.75,658.969177
24-08-2020,2089.029785,2223.427979,3486.416504,526.900024,420.098877,1112.236328,751.75,633.526794
21-08-2020,2075.174316,2223.922607,3383.832275,520.25,419.463104,1080.971558,760.75,628.756348
20-08-2020,2090.325684,2228.125977,3388.324951,525.549988,423.131012,1054.436401,762.700012,634.470947
19-08-2020,2124.715088,2231.834717,3404.44873,535.849976,422.250732,1062.003662,758.349976,625.327576
18-08-2020,2111.756592,2244.840332,3414.382813,526.299988,424.98941,1051.947144,764.849976,622.693848
17-08-2020,2084.644043,2228.669678,3379.3396,521.400024,415.746246,1028.299561,771.650024,613.500793
14-08-2020,2107.021973,2217.542969,3325.726074,528.599976,409.33963,1029.992188,771.799988,607.239563
13-08-2020,2115.245361,2229.708008,3414.133057,535.349976,404.057831,1054.486206,760.25,608.730347
12-08-2020,2120.777832,2232.576416,3412.735596,547.700012,405.427185,1059.116089,762.099976,599.736084
11-08-2020,2126.957764,2254.878906,3451.822266,551.099976,407.334534,1062.053467,778,602.170959
10-08-2020,2113.05249,2257.747314,3437.395508,558.849976,401.221313,1046.122437,795.599976,608.034607
07-08-2020,2139.567139,2270.159668,3458.711182,560.799988,395.205933,1039.351685,728.650024,605.798462
06-08-2020,2127.256836,2282.769775,3339.803223,555.299988,391.684753,1036.21521,731.099976,602.419434
05-08-2020,2119.631348,2234.702881,3256.887207,556.950012,377.355377,1023.121948,722.150024,601.773438
04-08-2020,2143.703857,2225.010254,3230.380127,547.035583,354.902863,1037.161133,713.849976,584.629578
03-08-2020,2002.557861,2229.411621,3169.378662,545.391479,356.094604,997.682007,710.400024,581.10144
31-07-2020,2060.47168,2256.362549,3246.054932,552.864624,349.230103,1028.349365,720.150024,579.561035
30-07-2020,2102.087891,2254.483398,3213.108154,550.722412,349.516174,1046.122437,685.950012,574.939575
29-07-2020,2089.926758,2251.071289,3278.95166,564.174072,356.332947,1060.012207,681.25,566.939148
28-07-2020,2170.716797,2284.401367,3234.373779,562.579773,341.79361,1081.967285,662.599976,572.355652
27-07-2020,2149.285889,2182.581055,3166.033936,557.498047,336.406921,1074.848022,652.900024,591.536804
24-07-2020,2139.268066,2133.723389,3246.604004,557.448242,329.971466,1114.277344,666.049988,602.966064
23-07-2020,2051.201416,2147.371826,3292.479736,565.170471,335.50119,1125.528687,671.450012,601.922485
22-07-2020,1997.573975,2166.905029,3247.751953,567.113525,333.737366,1121.496094,661.700012,581.051758
21-07-2020,1965.228027,2200.630859,3287.138428,565.718506,342.4133,1133.643677,662.299988,575.486206
20-07-2020,1913.743652,2183.668945,3435.947998,573.68988,335.977875,1128.167358,674.349976,595.661255
17-07-2020,1905.569824,2176.597656,3295.974121,564.722107,334.595459,1093.716309,689.099976,586.418518
16-07-2020,1837.489014,2210.224609,3199.629883,560.736389,325.728851,1057.971191,674.5,569.920654
15-07-2020,1838.087036,2204.438721,3144.169434,561.583374,323.488342,1048.611572,638.200012,571.858704
14-07-2020,1910.852905,2143.305664,3185.802002,587.241211,320.961823,1054.286987,632.299988,576.678833
13-07-2020,1928.795166,2190.721924,3229.381836,584.700317,326.157867,1075.594849,638.349976,583.486633
10-07-2020,1872.027832,2193.04126,3308.803223,572.643677,322.916321,1100.337646,638.900024,576.678833
09-07-2020,1818.400391,2175.278564,3324.62793,566.615295,328.446014,1120.102173,639.049988,583.834534
08-07-2020,1792.234497,2189.63623,3202.874512,559.291565,318.626007,1105.565063,634.400024,578.41803
07-07-2020,1817.602905,2239.963867,3346.54248,565.120667,314.907745,1100.387573,636.549988,594.071106
06-07-2020,1845.862061,2233.352295,3103.784668,574.536804,323.106964,1098.246826,634.599976,579.312561
03-07-2020,1782.16687,2170.640137,2926.770752,579.369507,314.526367,1069.321899,638.799988,576.480042
